"path","cc"
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_1-3.x3p",100
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_1-4.x3p",125
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_1-5.x3p",75
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_1-6.x3p",400
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_2-1.x3p",100
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_2-2.x3p",225
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_2-3.x3p",375
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_2-4.x3p",150
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_2-5.x3p",150
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br1_Bullet_2-6.x3p",100
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_1-1.x3p",125
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_1-2.x3p",175
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_1-3.x3p",150
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_1-4.x3p",400
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_1-5.x3p",100
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_1-6.x3p",125
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_2-1.x3p",175
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_2-2.x3p",50
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_2-3.x3p",150
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_2-4.x3p",200
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_2-5.x3p",150
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br2_Bullet_2-6.x3p",200
"~/GitHub/imaging-paper/app/degraded_images/Hamby252_3DX3P1of2//Br3_Bullet_1-1.x3p",175
